TID,EN,AR,CN,CNT,DE,ES,FA,FI,FR,ID,IT,JP,KR,MS,NL,NO,PT,RU,TH,TR,VI,PL
TID_EVENT_TITLE_GEARFEAR,Geared & Feared,عتاد يثير الارتعاد,骇人装备,驚懼武裝,Gerüstet & gefürchtet,Armados y temidos,مجهز و ترسیده,Varusteltu ja pelätty,Équipé et redouté,Melindungi & Mengayomi,Equipaggiati e contenti,恐怖の改造,유비유환,Berlengkap & Ditakuti,Uitgerust en afschrikwekkend,Utrustet og fryktet,Armados e Venerados,Снаряжен и опасен,ชุดขนพองสยองเกล้า,Gelişmiş ve Değişmiş,Trang bị & Sợ hãi,Uzbrojenie po zęby
TID_EVENT_TITLE_GEARUP,Geared Up,أتم الاستعداد,全副武装,全副武裝,Ausgezeichnet ausgerüstet,Armados,آماده‌به‌کار,Valmiina taistoon,Équipé à bloc,Persenjataan Lengkap,Equipaggiati fino ai denti,改造計画,완전무장,Berlengkap,Sterk verbeterd,I full utrustning,Armado até os dentes,Полный фарш,ชุดจัดเต็ม,Geliştirilmiş,Củng cố,Pełne uzbrojenie
TID_EVENT_TITLE_ARMORFARMER,Armor Farmer,جامع الدروع,武装农夫,武裝農夫,Rüstungsrandale,Experto en armaduras,زره‌ورز,Kilpavarustelua,Farm d'armures,Kolektor,Esperto di armi,武装農民,갑옷 농부,Peladang Berperisai,Uitermate uitgerust,Panserbonde,Fazendeiro de armadura,Броневик,ชุดเกราะนักฟาร์ม,Zırhlı Çiftçi,Nông dân mặc giáp,Zbrojownia
TID_EVENT_TITLE_EQUIPMENTSHIPMENT,Equipment Shipment,شحنة المعدات,装备速递,裝備快遞,Ausrüstungsaufrüstung,Lote de equipo,حمل‌ونقل تجهیزات,Varustetoimitus,Provisions d'équipements,Pengiriman Perlengkapan,Equipaggiamenti à gogo,装備の配送,장비 배송,Penghantaran Peralatan,Uitrustingsbewust,Utstyrsforsendelse,Lote de equipamentos,Поставка оборудования,จัดส่งอุปกรณ์,Ekipman Teslimatı,Cung cấp trang bị,Dostawa wyposażenia
TID_EVENT_TITLE_HEAVEYMETAL,Heavy Metal,هيفي ميتال,重金属,重金屬,Heavy Metal,Metales pesados,هِوی متال,Hevimetallia,Heavy Metal,Heavy Metal,Metalli pesanti,ヘヴィメタル,헤비메탈,Logam Berat,Zwaar metaal,Tungmetall,Heavy metal,Хэви-метал,เฮฟวีเมทัล,Heavy Metal,Trang bị kim loại,Metal
TID_EVENT_TITLE_METALMASTERS,Metal Masters,أبطال المعدن,金属大师,金屬大師,Metallmeister,Maestría de metales,استادان فلز,Metallin mestarit,Maîtres du métal,Master Metal,Fabbri ferrai,メタルマスター,메탈 마스터,Pakar Logam,Metaalmeesters,Metallmestre,Mestres do metal,Повелители металла,เจ้าแห่งโลหะ,Metalin Ustaları,Bậc thầy kim loại,Mistrzowie metalu
TID_EVENT_TITLE_IRONMAIDENS,Iron Maidens,الفتيات الحديديات,钢铁女杰,鋼鐵英豪,Iron Maidens,Metalizados,آیرن میدنز,Rautaneidot,Anges de fer,Gadis Metal,Donne d'acciaio,鉄の乙女,아이언 메이든,Dayang Besi,Metalen meiden,Jernjomfruer,Damas de ferro,Железные девы,นักรบเหล็กกล้า,Metalci Kızlar,Thiếu nữ sắt,Żelazne damy
TID_EVENT_TITLE_CLASHNATURE,Clash For Nature,العب Clash من أجل الطبيعة,为自然而战,為自然而戰,Clash für die Natur,Clash por la naturaleza,Clash برای طبیعت,Clash luonnon puolesta,Clash pour la nature,Dari Clash untuk Alam,Battaglia per la natura,クラッシュ・エコロジー,자연을 위해 클래시,Bertempur untuk alam,Clash voor de natuur,Clash for naturen,Clash for Nature,Битва за природу!,Clash เพื่อธรรมชาติ,Doğa İçin Clash,Chiến đấu vì thiên nhiên,Clash dla natury
TID_EVENT_ANIMATION_ENJOYYOURREWARD,Enjoy your reward!,استمتع بجائزتك,尽情享受奖励吧！,盡情享受獎勵吧！,Viel Spaß mit der Belohnung!,¡Disfruta de la recompensa!,از جایزه‌تان لذت ببرید!,Toivottavasti pidät lahjastasi!,Profitez de votre récompense !,Nikmati hadiahmu!,Goditi la tua ricompensa!,報酬をお受け取りください！,보상을 받으세요!,Nikmati ganjaran anda!,Geniet van je beloning!,Gled deg over belønningen!,Aproveite a recompensa!,Ваша награда!,สนุกกับรางวัลของท่าน!,Ödülünün tadını çıkar!,Hãy tận hưởng phần thưởng của bạn!,Oto Twoja nagroda!
TID_EVENT_ANIMATION_WOMENSDAY,Happy Women's Day!,عيد مرأة سعيد!,妇女节快乐！,婦女節快樂！,Frohen Internationalen Frauentag!,¡Feliz Día de la Mujer!,روز زن مبارک!,Hyvää naistenpäivää!,Journée des femmes !,Selamat Hari Wanita Sedunia!,Buona Festa della donna!,国際女性デーを祝いましょう！,여성의 날 기념!,Selamat Hari Wanita!,Fijne Vrouwendag!,Gratulerer med kvinnedagen!,Feliz Dia das Mulheres!,С Международным женским днем!,สุขสันต์วันสตรีสากล!,Kadınlar Günü Kutlu Olsun!,Chúc mừng ngày Quốc tế Phụ nữ!,Wszystkiego najlepszego z okazji Dnia Kobiet!
TID_EVENT_ANIMATION_READYFORTH16,Ready for Town Hall 16!,استعد لقاعة المدينة 16!,准备迎接16级大本营！,準備迎接16級大本營！,Bereit für Rathaus-Level 16!,¡Todo listo para el ayuntamiento de nivel 16!,آماده تالار شهر 16 باشید!,Valmiina päärakennuksen tasolle 16!,Prêts pour l'hôtel de ville 16 !,Ayo Sambut Balai Kota 16!,Obiettivo: municipio 16,タウンホール16に備えよう！,마을회관 16을 준비하세요!,Bersedia untuk Dewan Bandaran 16!,Klaar voor stadhuislevel 16!,Klar for rådhus 16!,Pronto para centro da vila 16!,Все для ратуши 16-го уровня!,เตรียมพร้อมรับศาลากลาง 16!,Belediye Binası 16'ya Hazır Ol!,Chuẩn bị sẵn sàng cho Nhà Chính 16!,Wszystko gotowe na ratusz poz. 16!
TID_EVENT_ANIMATION_READYFORTH17,Ready for Town Hall 17!,استعد لقاعة المدينة 17!,准备迎接17级大本营！,準備迎接17級大本營！,Bereit für Rathaus-Level 17!,¡Todo listo para el ayuntamiento de nivel 17!,آماده تالار شهر 17 باشید!,Valmiina päärakennuksen tasolle 17!,Prêts pour l'hôtel de ville 17 !,Ayo Sambut Balai Kota 17!,Obiettivo: municipio 17,タウンホール17に備えよう！,마을회관 17을 준비하세요!,Bersedia untuk Dewan Bandaran 17!,Klaar voor stadhuislevel 17!,Klar for rådhus 17!,Pronto para centro da vila 17!,Все для ратуши 17-го уровня!,เตรียมพร้อมรับศาลากลาง 17!,Belediye Binası 17'ye Hazır Ol!,Chuẩn bị sẵn sàng cho Nhà Chính 17!,Wszystko gotowe na ratusz poz. 17!
TID_EVENT_TITLE_MERGETOWERPACK,Merge Tower Pack,باقة برج الدمج,双塔合并礼包,雙塔合併特惠包,Kombiturm-Paket,Lote de torre fusionada,بسته ادغام بمب,Torninyhdistyspaketti,Pack Fusion de tour,Paket Gabungan Benteng,Pacchetto torre evoluta,タワー合体パック,타워 합체 팩,Pek Menara Gabung,Multi-torenpakket,Kombotårnpakke,Pacote da Torre de Fusão,Набор «Объединение башен»,แพ็คผสานรวมหอคอย,Birleştirme Kule Paketi,Gói tháp kết hợp,Połączony pakiet wieży
TID_EVENT_TITLE_EVENTMEDALS,Event Medals,أوسمة الأحداث,活动奖章,活動幣,Ereignismedaillen,Medallas de evento,مدال‌های رویداد,Tapahtumamitalit,Médailles d'événement,Medali Acara,Medaglie dell'evento,イベントメダル,이벤트 메달,Pingat Acara,Evenementmedailles,Hendelsemedaljer,Medalhas de eventos,Медали события,เหรียญอีเวนท์,Etkinlik Madalyaları,Huy chương sự kiện,Medale z wydarzenia
TID_EVENT_TITLE_COOKIEMEDALS,Cookie Medals,أوسمة الكعك,饼干奖章,餅乾幣,Plätzchen-Medaillen,Medallas de galletas,مدال‌های شیرینی,Keksimitalit,Médailles biscuits,Medali Kue,Medaglie biscotto,クッキーメダル,쿠키 메달,Pingat Biskut,Koekjesmedailles,Småkakemedaljer,Medalhas de biscoito,Медали из печенья,เหรียญคุกกี้,Kurabiye Madalyaları,Huy chương bánh quy,Ciasteczkowe medale
TID_EVENT_TITLE_GETBLACKSMITH,Get Blacksmith,احصل على الحداد,获取铁匠铺,獲取鐵匠鋪,Schmied anheuern,Consigue la herrería,دریافت آهنگر,Hanki ahjo,Recruter un forgeron,Dapatkan Bengkel Pandai Besi,Un fabbro per amico,鍛冶屋をゲット,대장간 프로모션,Dapatkan Tukang Besi,Aanbieding: de smid,Hent smeden,Contrate um ferreiro,Акция для кузницы,สร้างโรงตีเหล็ก,Demirciyi Al,Tuyển thợ rèn,Zdobądź kowala
TID_EVENT_TITLE_UBOFFER,Upgrade Buildings,ترقية المباني,升级建筑,升級建築,Gebäude verbessern,Mejorar edificios,ارتقاء ساختمان‌ها,Päivitä rakennuksia,Améliorer les bâtiments,Tingkatkan Bangunan,Migliora gli edifici,施設のアップグレード,건물 업그레이드,Naik Taraf Bangunan,Gebouwen upgraden,Oppgrader bygninger,Melhore construções,Улучшение зданий,อัปเกรดสิ่งก่อสร้าง,Bina Yükseltmeleri,Nâng cấp công trình,Ulepsz struktury
TID_EVENT_TITLE_UTOFFER,Upgrade Troops,ترقية القوات,升级部队,升級部隊,Truppen verbessern,Mejorar tropas,ارتقاء نیروها,Päivitä joukkoja,Améliorer les troupes,Tingkatkan Peleton,Migliora le truppe,ユニットのアップグレード,유닛 업그레이드,Naik Taraf Askar,Troepen upgraden,Oppgrader tropper,Melhore tropas,Улучшение воинов,อัปเกรดกองกำลัง,Birlik Yükseltmeleri,Nâng cấp binh lính,Ulepsz oddziały
TID_EVENT_TITLE_UHOFFER,Upgrade Heroes,ترقية الأبطال,升级英雄,升級英雄,Helden verbessern,Mejorar héroes,ارتقاء قهرمان‌ها,Päivitä sankareita,Améliorer les héros,Tingkatkan Pahlawan,Migliora gli eroi,ヒーローのアップグレード,영웅 업그레이드,Naik Taraf Wira,Helden upgraden,Oppgrader helter,Melhore heróis,Улучшение героев,อัปเกรดผู้กล้า,Kahraman Yükseltmeleri,Nâng cấp tướng,Ulepsz herosów
TID_EVENT_TITLE_USOFFER,Upgrade Spells,ترقية التعويذات,升级法术,升級法術,Zauber verbessern,Mejorar hechizos,ارتقای طلسم‌ها,Päivitä loitsuja,Améliorer les sorts,Tingkatkan Mantra,Migliora gli incantesimi,呪文のアップグレード,마법 업그레이드,Naik Taraf Sihir,Spreuken upgraden,Oppgrader formler,Melhore feitiços,Улучшение заклинаний,อัปเกรดอาคม,Büyü Yükseltmeleri,Nâng cấp thần chú,Ulepsz zaklęcia
TID_EVENT_TITLE_FTOFFER,Finish them!,أنهها كلها!,立即完成！,立即完成！,Fertig machen!,¡Termínalo todo!,کارشان را تمام کن!,Selvää jälkeä!,Finissez-les !,Ayo selesaikan!,Finiscili!,今すぐ完了しましょう！,업그레이드 완료!,Selesaikannya!,Voltooi ze!,Ta knekken på dem!,Finalize tudo!,Завершение улучшений,จัดการซะ!,Bitime zamanı!,Hạ gục bọn họ!,Dokończ to!
TID_GEAR_RESOURCE_COMMON,Shiny Ore,معدن خام لامع,闪亮矿石,閃光礦石,Glanzerz,Minerales brillantes,سنگ معدن براق,Kimallemalmia,Minerai brillant,Mineral Berkilau,Minerali lucenti,ブルー鉱石,빛나는 광석,Bijih Berkilau,Glanzend erts,Blank malm,Minério azul,Блестящая руда,แร่วิบวับ,Parlak Cevher,Quặng sáng bóng,Błyszcząca ruda
TID_GEAR_RESOURCE_RARE,Glowy Ore,معدن خام متوهج,璀璨矿石,輝光礦石,Glimmerz,Minerales radiantes,سنگ معدن درخشان,Hohtomalmia,Minerai luisant,Mineral Gemilang,Minerali raffinati,パープル鉱石,은은한 광석,Bijih Bercahaya,Glimmend erts,Skinnende malm,Minério brilhante,Сияющая руда,แร่เรืองรอง,Işıltılı Cevher,Quặng lấp lánh,Świecąca ruda
TID_GEAR_RESOURCE_EPIC,Starry Ore,معدن خام نجمي,星辉矿石,星光礦石,Sternenerz,Minerales estelares,سنگ معدن ستاره‌ای,Tähtimalmia,Minerai étoilé,Mineral Astral,Minerali stellari,スター鉱石,반짝이는 광석,Bijih Berbintang,Glinsterend erts,Stjernemalm,Minério estelar,Звездная руда,แร่ประกายดาว,Yıldız Cevher,Quặng ngôi sao,Gwiaździsta ruda
TID_DIAMOND_BUNDLE_TH4,Town Hall 4 Pack,حزمة قاعة المدينة 4,4级大本营礼包,4級大本營特惠包,Paket: Rathaus-Level 4,Lote de ayuntamiento de nivel 4,بسته تالار شهر سطح ۴,Tason 4 päärakennuspaketti,Pack hôtel de ville 4,Paket Balai Kota 4,Pacchetto municipio 4,タウンホール４パック,마을회관 4 팩,Pek Dewan Bandar 4,Stadhuis 4-pakket,Rådhus 4-pakke,Pacote Centro da Vila 4,Набор ратуши 4,แพ็คศาลากลาง 4,Belediye Binası 4 Paketi,Gói Nhà Chính 4,Pakiet ratusza poz. 4.
TID_DIAMOND_BUNDLE_TH5,Town Hall 5 Pack,حزمة قاعة المدينة 5,5级大本营礼包,5級大本營特惠包,Paket: Rathaus-Level 5,Lote de ayuntamiento de nivel 5,بسته تالار شهر سطح ۵,Tason 5 päärakennuspaketti,Pack hôtel de ville 5,Paket Balai Kota 5,Pacchetto municipio 5,タウンホール５パック,마을회관 5 팩,Pek Dewan Bandar 5,Stadhuis 5-pakket,Rådhus 5-pakke,Pacote Centro da Vila 5,Набор ратуши 5,แพ็คศาลากลาง 5,Belediye Binası 5 Paketi,Gói Nhà Chính 5,Pakiet ratusza poz. 5.
TID_DIAMOND_BUNDLE_TH6,Town Hall 6 Pack,حزمة قاعة المدينة 6,6级大本营礼包,6級大本營特惠包,Paket: Rathaus-Level 6,Lote de ayuntamiento de nivel 6,بسته تالار شهر سطح ۶,Tason 6 päärakennuspaketti,Pack hôtel de ville 6,Paket Balai Kota 6,Pacchetto municipio 6,タウンホール６パック,마을회관 6 팩,Pek Dewan Bandar 6,Stadhuis 6-pakket,Rådhus 6-pakke,Pacote Centro da Vila 6,Набор ратуши 6,แพ็คศาลากลาง 6,Belediye Binası 6 Paketi,Gói Nhà Chính 6,Pakiet ratusza poz. 6.
TID_DIAMOND_BUNDLE_TH7,Town Hall 7 Pack,حزمة قاعة المدينة 7,7级大本营礼包,7級大本營特惠包,Paket: Rathaus-Level 7,Lote de ayuntamiento de nivel 7,بسته تالار شهر سطح ۷,Tason 7 päärakennuspaketti,Pack hôtel de ville 7,Paket Balai Kota 7,Pacchetto municipio 7,タウンホール７パック,마을회관 7 팩,Pek Dewan Bandar 7,Stadhuis 7-pakket,Rådhus 7-pakke,Pacote Centro da Vila 7,Набор ратуши 7,แพ็คศาลากลาง 7,Belediye Binası 7 Paketi,Gói Nhà Chính 7,Pakiet ratusza poz. 7.
TID_DIAMOND_BUNDLE_TH8,Town Hall 8 Pack,حزمة قاعة المدينة 8,8级大本营礼包,8級大本營特惠包,Paket: Rathaus-Level 8,Lote de ayuntamiento de nivel 8,بسته تالار شهر سطح ۸,Tason 8 päärakennuspaketti,Pack hôtel de ville 8,Paket Balai Kota 8,Pacchetto municipio 8,タウンホール８パック,마을회관 8 팩,Pek Dewan Bandar 8,Stadhuis 8-pakket,Rådhus 8-pakke,Pacote Centro da Vila 8,Набор ратуши 8,แพ็คศาลากลาง 8,Belediye Binası 8 Paketi,Gói Nhà Chính 8,Pakiet ratusza poz. 8.
TID_DIAMOND_BUNDLE_TH9,Town Hall 9 Pack,حزمة قاعة المدينة 9,9级大本营礼包,9級大本營特惠包,Paket: Rathaus-Level 9,Lote de ayuntamiento de nivel 9,بسته تالار شهر سطح ۹,Tason 9 päärakennuspaketti,Pack hôtel de ville 9,Paket Balai Kota 9,Pacchetto municipio 9,タウンホール９パック,마을회관 9 팩,Pek Dewan Bandar 9,Stadhuis 9-pakket,Rådhus 9-pakke,Pacote Centro da Vila 9,Набор ратуши 9,แพ็คศาลากลาง 9,Belediye Binası 9 Paketi,Gói Nhà Chính 9,Pakiet ratusza poz. 9.
TID_DIAMOND_BUNDLE_TH10,Town Hall 10 Pack,حزمة قاعة المدينة 10,10级大本营礼包,10級大本營特惠包,Paket: Rathaus-Level 10,Lote de ayuntamiento de nivel 10,بسته تالار شهر سطح ۱۰,Tason 10 päärakennuspaketti,Pack hôtel de ville 10,Paket Balai Kota 10,Pacchetto municipio 10,タウンホール１０パック,마을회관 10 팩,Pek Dewan Bandar 10,Stadhuis 10-pakket,Rådhus 10-pakke,Pacote Centro da Vila 10,Набор ратуши 10,แพ็คศาลากลาง 10,Belediye Binası 10 Paketi,Gói Nhà Chính 10,Pakiet ratusza poz. 10.
TID_DIAMOND_BUNDLE_TH11,Town Hall 11 Pack,حزمة قاعة المدينة 11,11级大本营礼包,11級大本營特惠包,Paket: Rathaus-Level 11,Lote de ayuntamiento de nivel 11,بسته تالار شهر سطح ۱۱,Tason 11 päärakennuspaketti,Pack hôtel de ville 11,Paket Balai Kota 11,Pacchetto municipio 11,タウンホール１１パック,마을회관 11 팩,Pek Dewan Bandar 11,Stadhuis 11-pakket,Rådhus 11-pakke,Pacote Centro da Vila 11,Набор ратуши 11,แพ็คศาลากลาง 11,Belediye Binası 11 Paketi,Gói Nhà Chính 11,Pakiet ratusza poz. 11.
TID_DIAMOND_BUNDLE_TH12,Town Hall 12 Pack,مجموعة قاعة المدينة 12,12级大本营礼包,12級大本營特惠包,Paket: Rathaus-Level 12,Lote de ayuntamiento de nivel 12,بسته تالار شهر 12,Tason 12 päärakennuspaketti,Pack hôtel de ville 12,Paket Balai Kota 12,Pacchetto municipio 12,タウンホール12パック,마을회관 12 팩,Pek Dewan Bandaran 12,Stadhuis 12-pakket,Rådhus 12-pakke,Pacote Centro da Vila 12,Набор ратуши 12,แพ็คศาลากลางเลเวล 12,12. Belediye Binası Paketi,Gói Nhà Chính 12,Pakiet ratusza poz. 12.
TID_DIAMOND_BUNDLE_TH13,Town Hall 13 Pack,مجموعة قاعة المدينة 13,13级大本营礼包,13級大本營特惠包,Paket: Rathaus-Level 13,Lote de ayuntamiento de nivel 13,بسته تالار شهر 13,Tason 13 päärakennuspaketti,Pack hôtel de ville 13,Paket Balai Kota 13,Pacchetto municipio 13,タウンホール13パック,마을회관 13 팩,Pek Dewan Bandaran 13,Stadhuis 13-pakket,Rådhus 13-pakke,Pacote centro da vila 13,Набор ратуши 13,แพ็คศาลากลางเลเวล 13,13. Belediye Binası Paketi,Gói Nhà Chính 13,Pakiet ratusza poz. 13.
TID_DIAMOND_BUNDLE_TH14,Town Hall 14 Pack,مجموعة قاعة المدينة 14,14级大本营礼包,14級大本營特惠包,Paket: Rathaus-Level 14,Lote de ayuntamiento de nivel 14,بسته تالار شهر ۱۴,Tason 14 päärakennuspaketti,Pack hôtel de ville 14,Paket Balai Kota 14,Pacchetto municipio 14,タウンホール14パック,마을회관 14 팩,Pek Dewan Bandaran 14,Stadhuis 14-pakket,Rådhus 14-pakke,Pacote centro da vila 14,Набор ратуши 14,แพ็คศาลากลางเลเวล 14,14. Belediye Binası Paketi,Gói Nhà Chính 14,Pakiet ratusza poz. 14.
TID_DIAMOND_BUNDLE_TH15,Town Hall 15 Pack,مجموعة قاعة المدينة 15,15级大本营礼包,15級大本營特惠包,Paket: Rathaus-Level 15,Lote de ayuntamiento de nivel 15,بسته تالار شهر 15,Tason 15 päärakennuspaketti,Pack hôtel de ville 15,Paket Balai Kota 15,Pacchetto municipio 15,タウンホール15パック,마을회관 15 팩,Pek Dewan Bandaran 15,Stadhuis 15-pakket,Rådhus 15-pakke,Pacote centro da vila 15,Набор ратуши 15,แพ็คศาลากลางเลเวล 15,15. Belediye Binası Paketi,Gói Nhà Chính 15,Pakiet ratusza poz. 15.
TID_EVENT_TITLE_TH16PACK,Town Hall 16 Pack,باقة قاعة المدينة 16,16级大本营礼包,16級大本營特惠包,Paket: Rathaus-Level 16,Lote de ayuntamiento de nivel 16,بسته تالار شهر 16,Tason 16 päärakennuspaketti,Pack Hôtel de ville 16,Paket Balai Kota 16,Pacchetto municipio 16,タウンホール16パック,마을회관 16 팩,Pek Dewan Bandaran 16,Stadhuis 16-pakket,Rådhus 16-pakke,Pacote centro da vila 16,Набор ратуши 16,แพ็คศาลากลางเลเวล 16,Belediye Binası 16 Paketi,Gói Nhà Chính 16,Pakiet ratusza poz. 16.
TID_EVENT_TITLE_TH17PACK,Town Hall 17 Pack,باقة قاعة المدينة 17,17级大本营礼包,17級大本營特惠包,Paket: Rathaus-Level 17,Lote de ayuntamiento de nivel 17,بسته تالار شهر 17,Tason 17 päärakennuspaketti,Pack Hôtel de ville 17,Paket Balai Kota 17,Pacchetto municipio 17,タウンホール17パック,마을회관 17 팩,Pek Dewan Bandaran 17,Stadhuis 17-pakket,Rådhus 17-pakke,Pacote centro da vila 17,Набор ратуши 17,แพ็คศาลากลางเลเวล 17,Belediye Binası 17 Paketi,Gói Nhà Chính 17,Pakiet ratusza poz. 17.
TID_DIAMOND_BUNDLE_BH9_ALT,Champion Builder Pack,مجموعة البنّاء البطل,建筑大师基地辉煌礼包,建築大師基地輝煌特惠包,Champion-Bauarbeiterpaket,Lote de campeón de constructores,بسته سازنده قهرمان,Voittajan rakentajapaketti,Pack ouvrier de compétition,Paket Tukang Juara,Pacchetto costruttore campione,無敵の拠点パック,챔피언 장인 팩,Pek Juara Pembina,Kampioenbouwerpakket,Byggepakke for vinnere,Pacote do construtor campeão,Набор строителя для чемпиона,แพ็คช่างก่อสร้างแชมเปียน,Yüce İnşaatçı Paketi,Gói Thợ xây Vô địch,Pakiet Budowniczego-czempiona
TID_DIAMOND_BUNDLE_BH3,Builder Hall 3 Pack,حزمة قاعة البنّاء 3,3级建筑大师大本营礼包,3級建築大師大本營特惠包,Paket: Meisterhütte 3,Lote de taller del constructor de nivel 3,بسته تالار سازنده سطح 3,Rakentajan talon paketti 3,Pack Maison des ouvriers 3,Paket Aula Tukang 3,Pacchetto sala del costruttore 3,ビルダーホール3パック,장인회관 3 팩,Pek Dewan Pembina 3,Bouwerszaal 3-pakket,Byggerens hall 3-pakke,Pacote Casa do Construtor 3,Набор дома строителя 3,แพ็คหอช่างก่อสร้าง 3,İnşaatçı Binası 3 Paketi,Gói Hội trường Thợ xây 3,Pakiet pracowni 3
TID_DIAMOND_BUNDLE_BH4,Builder Hall 4 Pack,حزمة قاعة البنّاء 4,4级建筑大师大本营礼包,4級建築大師大本營特惠包,Paket: Meisterhütte 4,Lote de taller del constructor de nivel 4,بسته تالار سازنده سطح 4,Rakentajan talon paketti 4,Pack Maison des ouvriers 4,Paket Aula Tukang 4,Pacchetto sala del costruttore 4,ビルダーホール4パック,장인회관 4 팩,Pek Dewan Pembina 4,Bouwerszaal 4-pakket,Byggerens hall 4-pakke,Pacote Casa do Construtor 4,Набор дома строителя 4,แพ็คหอช่างก่อสร้าง 4,İnşaatçı Binası 4 Paketi,Gói Hội trường Thợ xây 4,Pakiet Pracowni 4
TID_DIAMOND_BUNDLE_BH5,Builder Hall 5 Pack,حزمة قاعة البنّاء 5,5级建筑大师大本营礼包,5級建築大師大本營特惠包,Paket: Meisterhütte 5,Lote de taller del constructor de nivel 5,بسته تالار سازنده سطح 5,Rakentajan talon paketti 5,Pack Maison des ouvriers 5,Paket Aula Tukang 5,Pacchetto sala del costruttore 5,ビルダーホール5パック,장인회관 5 팩,Pek Dewan Pembina 5,Bouwerszaal 5-pakket,Byggerens hall 5-pakke,Pacote Casa do Construtor 5,Набор дома строителя 5,แพ็คหอช่างก่อสร้าง 5,İnşaatçı Binası 5 Paketi,Gói Hội trường Thợ xây 5,Pakiet Pracowni 5
TID_DIAMOND_BUNDLE_BH6,Builder Hall 6 Pack,حزمة قاعة البنّاء 6,6级建筑大师大本营礼包,6級建築大師大本營特惠包,Paket: Meisterhütte 6,Lote de taller del constructor de nivel 6,بسته تالار سازنده سطح 6,Rakentajan talon paketti 6,Pack Maison des ouvriers 6,Paket Aula Tukang 6,Pacchetto sala del costruttore 6,ビルダーホール6パック,장인회관 6 팩,Pek Dewan Pembina 6,Bouwerszaal 6-pakket,Byggerens hall 6-pakke,Pacote Casa do Construtor 6,Набор дома строителя 6,แพ็คหอช่างก่อสร้าง 6,İnşaatçı Binası 6 Paketi,Gói Hội trường Thợ xây 6,Pakiet Pracowni 6
TID_DIAMOND_BUNDLE_BH7,Builder Hall 7 Pack,حزمة قاعة البنّاء 7,7级建筑大师大本营礼包,7級建築大師大本營特惠包,Paket: Meisterhütte 7,Lote de taller del constructor de nivel 7,بسته تالار سازنده سطح 7,Rakentajan talon paketti 7,Pack Maison des ouvriers 7,Paket Aula Tukang 7,Pacchetto sala del costruttore 7,ビルダーホール7パック,장인회관 7 팩,Pek Dewan Pembina 7,Bouwerszaal 7-pakket,Byggerens hall 7-pakke,Pacote Casa do Construtor 7,Набор дома строителя 7,แพ็คหอช่างก่อสร้าง 7,İnşaatçı Binası 7 Paketi,Gói Hội trường Thợ xây 7,Pakiet Pracowni 7
TID_DIAMOND_BUNDLE_BH8,Builder Hall 8 Pack,حزمة قاعة البنّاء 8,8级建筑大师大本营礼包,8級建築大師大本營特惠包,Paket: Meisterhütte 8,Lote de taller del constructor de nivel 8,بسته تالار سازنده سطح 8,Rakentajan talon paketti 8,Pack Maison des ouvriers 8,Paket Aula Tukang 8,Pacchetto sala del costruttore 8,ビルダーホール8パック,장인회관 8 팩,Pek Dewan Pembina 8,Bouwerszaal 8-pakket,Byggerens hall 8-pakke,Pacote Casa do Construtor 8,Набор дома строителя 8,แพ็คหอช่างก่อสร้าง 8,İnşaatçı Binası 8 Paketi,Gói Hội trường Thợ xây 8,Pakiet Pracowni 8
TID_DIAMOND_PACK_PILE,Pile of Gems,مجموعة جواهر,一小堆宝石,一小堆寶石,Juwelenhaufen,Pila de gemas,توده‌ای از جواهر,Jalokivikeko,Tas de gemmes,Tumpukan Permata,Pila di gemme,ひとにぎりのエメラルド,보석 더미,Timbunan Permata,Stapel edelstenen,Haug med juveler,Pilha de Gemas,Горсть кристаллов,กองอัญมณี,Taş Yığını,Đống Ngọc,Stos klejnotów
TID_DIAMOND_PACK_BAG,Bag of Gems,حقيبة جواهر,一小袋宝石,一小袋寶石,Juwelenbeutel,Bolsa de gemas,کیسه‌ای از جواهر,Jalokivipussi,Bourse de gemmes,Kantong Permata,Borsa di gemme,エメラルドの小袋,보석 가방,Beg Permata,Zak edelstenen,Pose med juveler,Bolsa de Gemas,Мешок кристаллов,ถุงอัญมณี,Taş Torbası,Túi Ngọc,Wór klejnotów
TID_DIAMOND_PACK_SACK,Sack of Gems,كيس جواهر,一麻袋宝石,一大袋寶石,Juwelensack,Saco de gemas,ساکی از جواهر,Jalokivisäkki,Sac de gemmes,Karung Permata,Sacco di gemme,エメラルドの大袋,보석 자루,Guni Permata,Buidel edelstenen,Sekk med juveler,Saco de Gemas,Куль кристаллов,กระสอบอัญมณี,Taş Çuvalı,Bao Ngọc,Sakiewka klejnotów
TID_DIAMOND_PACK_BOX,Box of Gems,علبة جواهر,一小箱宝石,一小箱寶石,Juwelenkiste,Caja de gemas,جعبه‌ای از جواهر,Jalokivilaatikko,Caisse de gemmes,Kotak Permata,Scatola di gemme,エメラルドの箱,보석 상자,Kotak Permata,Krat edelstenen,Eske med juveler,Caixa de Gemas,Ящик кристаллов,กล่องอัญมณี,Taş Kutusu,Tráp Ngọc,Pudło klejnotów
